브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,원가견적번호,발주통화,제조업체,견적서제출일자,PO_CLS,마감형태,내수구분,적용환율,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD)_공임,(USD)_본사공급자재,(USD)_정상마진,(USD)_기타마진/경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)_본사공급자재,(KRW)_정상마진,(KRW)_기타마진/경비
I,26S,7ACP66063,Headwear,운동모,7ACP66063C0001,43000,1313,CQ250900156,KRW,㈜유풍,2025-09-01,L,직송/원화/세금계산서/FOB,직송,1378.86,1.062472,1.050143,0.568586,0.246581,1.486735,0.036262,0.625154,0.105885,1465.0,1448.0,784.0,340.0,2050.0,50.0,862.0,146.0
I,26S,7ACP66063,Headwear,운동모,7ACP66063K0001,43000,3120,CQ250900155,KRW,㈜유풍,2025-09-01,B,내수/원화/세금계산서/DDP,내수,1378.86,1.062472,1.050143,0.568586,0.246581,1.486735,0.036262,0.625154,0.105885,1465.0,1448.0,784.0,340.0,2050.0,50.0,862.0,146.0
I,26S,7ACP77063,Headwear,운동모,7ACP77063C0001,43000,1060,CQ250900154,KRW,㈜유풍,2025-09-01,L,직송/원화/세금계산서/FOB,직송,1378.86,1.051593,0.62878,0.568586,0.246581,1.479483,0.036262,0.559158,0.105885,1450.0,867.0,784.0,340.0,2040.0,50.0,771.0,146.0
I,26S,7ACP77063,Headwear,운동모,7ACP77063K0001,43000,5000,CQ250900153,KRW,㈜유풍,2025-09-01,B,내수/원화/세금계산서/DDP,내수,1378.86,1.051593,0.62878,0.568586,0.246581,1.479483,0.036262,0.559158,0.105885,1450.0,867.0,784.0,340.0,2040.0,50.0,771.0,146.0
I,26S,7ACPB0163,Headwear,운동모,7ACPB0163C0001,53000,1322,CQ250900110,KRW,㈜유풍,2025-09-01,L,직송/원화/세금계산서/FOB,직송,1378.86,0.897118,0.406858,1.234353,0.246581,1.522997,0.036262,0.609199,0.269063,1237.0,561.0,1702.0,340.0,2100.0,50.0,840.0,371.0
I,26S,7ACPB0163,Headwear,운동모,7ACPB0163K0001,53000,3580,CQ250900111,KRW,㈜유풍,2025-09-01,B,내수/원화/세금계산서/DDP,내수,1378.86,0.897118,0.406858,1.234353,0.246581,1.522997,0.036262,0.609199,0.269063,1237.0,561.0,1702.0,340.0,2100.0,50.0,840.0,371.0
I,26S,7ACPB0263,Headwear,운동모,7ACPB0263K0001,49000,2120,CQ250900160,KRW,㈜유풍,2025-09-01,B,내수/원화/세금계산서/DDP,내수,1378.86,0.931929,2.182238,0.568586,0.246581,1.522997,0.036262,0.78108,0.295171,1285.0,3009.0,784.0,340.0,2100.0,50.0,1077.0,407.0
I,26S,7ACPB0363,Headwear,운동모,7ACPB0363K0001,49000,3000,CQ250900159,KRW,㈜유풍,2025-09-01,B,내수/원화/세금계산서/DDP,내수,1378.86,0.993574,0.84345,0.533049,0.246581,1.740568,0.036262,0.616451,0.826045,1370.0,1163.0,735.0,340.0,2400.0,50.0,850.0,1139.0
I,26S,7ACPB0463,Headwear,운동모,7ACPB0463K0001,53000,2160,CQ250900158,KRW,㈜유풍,2025-09-01,B,내수/원화/세금계산서/DDP,내수,1378.86,1.0719,1.77538,0.568586,0.246581,1.522997,0.036262,0.741192,0.380024,1478.0,2448.0,784.0,340.0,2100.0,50.0,1022.0,524.0
I,26S,7ACPB0963,Headwear,운동모,7ACPB0963K0001,49000,1200,CQ250900157,KRW,㈜유풍,2025-09-01,B,내수/원화/세금계산서/DDP,내수,1378.86,1.240155,0.88769,0.568586,0.246581,1.522997,0.036262,0.633132,1.21042,1710.0,1224.0,784.0,340.0,2100.0,50.0,873.0,1669.0
I,26S,7ACPB1063,Headwear,운동모,7ACPB1063K0001,53000,1500,CQ251101083,KRW,㈜유풍,2025-11-13,B,내수/원화/세금계산서/DDP,내수,1378.86,0.638208,1.867485,2.444048,0.265437,1.37795,0.036262,0.949335,0.180584,880.0,2575.0,3370.0,366.0,1900.0,50.0,1309.0,249.0
I,26S,7ACPC0163,Headwear,운동모,7ACPC0163C0001,53000,693,CQ250900102,KRW,㈜유풍,2025-09-01,L,직송/원화/세금계산서/FOB,직송,1378.86,0.975443,1.923328,0.568586,0.246581,1.522997,0.036262,0.748444,0.176233,1345.0,2652.0,784.0,340.0,2100.0,50.0,1032.0,243.0
I,26S,7ACPC0163,Headwear,운동모,7ACPC0163K0001,53000,3660,CQ250900101,KRW,㈜유풍,2025-09-01,B,내수/원화/세금계산서/DDP,내수,1378.86,0.975443,1.923328,0.568586,0.246581,1.522997,0.036262,0.748444,0.176233,1345.0,2652.0,784.0,340.0,2100.0,50.0,1032.0,243.0
I,26S,7ACPM0163,Headwear,운동모,7ACPM0163C0001,56000,581,CQ250900097,KRW,㈜유풍,2025-09-01,L,직송/원화/세금계산서/FOB,직송,1378.86,0.889866,2.108263,0.568586,0.246581,1.522997,0.036262,0.763674,0.464877,1227.0,2907.0,784.0,340.0,2100.0,50.0,1053.0,641.0
I,26S,7ACRB0163,Bag,크로스백,7ACRB0163K0001,109000,800,CQ250800631,KRW,(주)리라이코리아,2025-08-28,B,내수/원화/세금계산서/DDP,내수,1378.86,0.876811,1.486735,4.447152,0.168255,6.424873,0.036262,1.985698,0.564959,1209.0,2050.0,6132.0,232.0,8859.0,50.0,2738.0,779.0
I,26S,7ACRB0263,Bag,크로스백,7ACRB0263K0001,79000,1000,CQ250800633,KRW,(주)리라이코리아,2025-08-28,B,내수/원화/세금계산서/DDP,내수,1378.86,0.73539,0.906546,3.182339,0.168255,4.291951,0.036262,1.185037,0.408308,1014.0,1250.0,4388.0,232.0,5918.0,50.0,1634.0,563.0
I,26S,7AETB0263,Acc_etc,기타,7AETB0263K0001,23000,1000,CQ251000293,KRW,영진아이엔씨(주),2025-10-20,B,내수/원화/세금계산서/DDP,내수,1378.86,0.59832,0.435142,0.489535,0.113137,1.660792,0.036262,0.477931,0.065997,825.0,600.0,675.0,156.0,2290.0,50.0,659.0,91.0
I,26S,7AHTB0163,Headwear,햇,7AHTB0163K0001,53000,2500,CQ250800704,KRW,주식회사 피앤지아이엔씨,2025-08-29,B,내수/원화/세금계산서/DDP,내수,1378.86,1.240155,0.253833,0.96529,0.421363,2.538329,0.036262,0.749895,0.297347,1710.0,350.0,1331.0,581.0,3500.0,50.0,1034.0,410.0
