브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,원가견적번호,발주통화,제조업체,견적서제출일자,PO_CLS,마감형태,내수구분,적용환율,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD)_공임,(USD)_본사공급자재,(USD)_정상마진,(USD)_기타마진/경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)_본사공급자재,(KRW)_정상마진,(KRW)_기타마진/경비
I,25F,7ADJB0256,Outer,다운점퍼,7ADJB0256K0001,179000,3000,CQ250501279,KRW,주)무브 플러스,2025-05-19,B,내수/원화/세금계산서/DDP,내수,1446.83,12.640739,0.0,4.108983,0.243982,10.500197,0.08294,2.725268,1.290407,18289.0,0.0,5945.0,353.0,15192.0,120.0,3943.0,1867.0
I,25F,7ADJB0556,Outer,다운점퍼,7ADJB0556C0002,209000,4338,CQ250502314,KRW,(주)엠에스에이,2025-05-29,L,직송/원화/세금계산서/FOB,직송,1446.83,6.698092,0.281996,11.449859,0.312407,7.099659,0.635873,2.553168,1.180512,9691.0,408.0,16566.0,452.0,10272.0,920.0,3694.0,1708.0
I,25F,7ADJB0556,Outer,다운점퍼,7ADJB0556K0001,209000,7900,CQ250502313,KRW,(주)엠에스에이,2025-05-29,B,내수/원화/세금계산서/DDP,내수,1446.83,6.698092,0.281996,11.449859,0.312407,7.099659,0.635873,2.553168,1.180512,9691.0,408.0,16566.0,452.0,10272.0,920.0,3694.0,1708.0
I,25F,7ADJB0756,Outer,다운점퍼,7ADJB0756K0001,239000,3000,CQ250501362,KRW,주)무브 플러스,2025-05-21,B,내수/원화/세금계산서/DDP,내수,1446.83,16.930116,0.845987,2.525521,0.243982,10.99991,0.08294,3.130292,1.460434,24495.0,1224.0,3654.0,353.0,15915.0,120.0,4529.0,2113.0
I,25F,7ADJB0856,Outer,다운점퍼,7ADJB0856C0001,259000,449,CQ250501361,KRW,주)무브 플러스,2025-05-21,L,직송/원화/세금계산서/FOB,직송,1446.83,19.10176,0.0,4.825031,0.243982,10.800163,0.08294,3.472419,1.519874,27637.0,0.0,6981.0,353.0,15626.0,120.0,5024.0,2199.0
I,25F,7ADJB0856,Outer,다운점퍼,7ADJB0856K0001,259000,3800,CQ250501360,KRW,주)무브 플러스,2025-05-21,B,내수/원화/세금계산서/DDP,내수,1446.83,18.84672,0.0,4.825031,0.243982,10.800163,0.08294,3.447537,1.506742,27268.0,0.0,6981.0,353.0,15626.0,120.0,4988.0,2180.0
I,25F,7ADJB1256,Outer,다운점퍼,7ADJB1256C0002,219000,4562,CQ250501382,KRW,주)무브 플러스,2025-05-21,L,직송/원화/세금계산서/FOB,직송,1446.83,14.758472,1.409979,2.835164,0.243982,9.500079,0.08294,2.850369,1.201247,21353.0,2040.0,4102.0,353.0,13745.0,120.0,4124.0,1738.0
I,25F,7ADJB1256,Outer,다운점퍼,7ADJB1256C0003,219000,1140,CQ250501384,KRW,주)무브 플러스,2025-05-21,L,직송/원화/세금계산서/FOB,직송,1446.83,14.758472,1.409979,2.835164,0.243982,9.500079,0.08294,2.850369,1.201247,21353.0,2040.0,4102.0,353.0,13745.0,120.0,4124.0,1738.0
I,25F,7ADJB1356,Outer,다운점퍼,7ADJB1356C0001,329000,1271,CQ250501290,KRW,주식회사 아라움,2025-05-20,L,직송/원화/세금계산서/FOB,직송,1446.83,13.882764,0.352495,19.083099,0.245364,10.500197,0.670431,4.381994,1.999544,20086.0,510.0,27610.0,355.0,15192.0,970.0,6340.0,2893.0
I,25F,7ADJB1356,Outer,다운점퍼,7ADJB1356K0001,329000,2300,CQ250501291,KRW,주식회사 아라움,2025-05-20,B,내수/원화/세금계산서/DDP,내수,1446.83,12.819751,0.352495,18.767927,0.245364,10.500197,0.670431,4.24376,1.930427,18548.0,510.0,27154.0,355.0,15192.0,970.0,6140.0,2793.0
I,25F,7ADJB1456,Outer,다운점퍼,7ADJB1456C0001,379000,3421,CQ250600525,KRW,(주)엠에스에이,2025-06-11,L,직송/원화/세금계산서/FOB,직송,1446.83,17.113275,2.079719,24.740294,0.347657,14.6624,0.08294,5.859707,2.490963,24760.0,3009.0,35795.0,503.0,21214.0,120.0,8478.0,3604.0
I,25F,7ADJB1556,Outer,다운점퍼,7ADJB1556C0002,279000,2575,CQ250502324,KRW,(주)엠에스에이,2025-05-29,L,직송/원화/세금계산서/FOB,직송,1446.83,9.012116,0.281996,21.708148,0.312407,8.600181,0.70499,3.960382,1.815694,13039.0,408.0,31408.0,452.0,12443.0,1020.0,5730.0,2627.0
I,25F,7ADJB1556,Outer,다운점퍼,7ADJB1556C0003,279000,1550,CQ250502323,KRW,(주)엠에스에이,2025-05-29,L,직송/원화/세금계산서/FOB,직송,1446.83,9.012116,0.281996,21.708148,0.312407,8.600181,0.70499,3.960382,1.815694,13039.0,408.0,31408.0,452.0,12443.0,1020.0,5730.0,2627.0
I,25F,7ADJB1556,Outer,다운점퍼,7ADJB1556K0001,279000,6400,CQ250502322,KRW,(주)엠에스에이,2025-05-29,B,내수/원화/세금계산서/DDP,내수,1446.83,9.012116,0.281996,21.708148,0.312407,8.600181,0.70499,3.960382,1.815694,13039.0,408.0,31408.0,452.0,12443.0,1020.0,5730.0,2627.0
I,25F,7ADJB1756,Outer,다운점퍼,7ADJB1756C0001,399000,911,CQ250501296,KRW,주식회사 아라움,2025-05-20,L,직송/원화/세금계산서/FOB,직송,1446.83,14.350684,0.387744,32.891909,0.227394,9.800046,0.774106,5.7429,2.730107,20763.0,561.0,47589.0,329.0,14179.0,1120.0,8309.0,3950.0
